time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol
2025-08-01,3.723,3.45,3.682,4747124.56,17169535.54,3.547,direct,,DOT
2025-08-02,3.628,3.427,3.547,2355629.81,8311824.67,3.507,direct,,DOT
2025-08-03,3.626,3.459,3.507,1751543.51,6266926.65,3.604,direct,,DOT
2025-08-04,3.755,3.6,3.604,1904608.02,6981387.43,3.72,direct,,DOT
2025-08-05,3.723,3.538,3.72,2039382.4,7412618.01,3.62,direct,,DOT
2025-08-06,3.696,3.554,3.62,1420324.87,5148999.54,3.675,direct,,DOT
2025-08-07,3.696,3.651,3.675,135055.24,495892.28,3.654,direct,,DOT
2025-07-08,18.48,17.69,18.0,611732.46,11099210.12,18.37,direct,,AVAX
2025-07-09,19.62,18.1,18.37,750411.71,14034802.29,19.51,direct,,AVAX
2025-07-10,20.78,19.34,19.51,682092.71,13556363.44,20.7,direct,,AVAX
2025-07-11,21.53,20.34,20.7,827103.56,17367478.39,20.68,direct,,AVAX
2025-07-12,21.08,20.19,20.68,575034.94,11898812.46,20.69,direct,,AVAX
2025-07-13,21.78,20.68,20.69,775922.71,16528334.95,21.21,direct,,AVAX
2025-07-14,22.08,21.03,21.21,972970.95,21008151.68,21.27,direct,,AVAX
2025-07-15,22.57,20.4,21.27,1133104.65,24075831.25,22.51,direct,,AVAX
2025-07-16,23.03,21.62,22.51,1088141.72,24306911.81,22.68,direct,,AVAX
2025-07-17,24.33,22.04,22.68,1348301.82,30958727.17,23.92,direct,,AVAX
2025-07-18,25.04,23.09,23.92,1440135.1,34790620.05,23.54,direct,,AVAX
2025-07-19,25.24,23.02,23.54,916373.18,22200280.46,24.51,direct,,AVAX
2025-07-20,25.56,24.32,24.51,964675.85,24122423.3,25.06,direct,,AVAX
2025-07-21,26.47,24.66,25.06,1220881.81,31414244.47,25.44,direct,,AVAX
2025-07-22,26.09,24.73,25.44,1972287.78,49860403.78,25.9,direct,,AVAX
2025-07-23,26.12,23.17,25.9,1410307.36,34628354.15,23.96,direct,,AVAX
2025-07-24,24.45,22.56,23.96,904368.89,21449689.12,23.67,direct,,AVAX
2025-07-25,24.03,22.87,23.67,672961.71,15766784.41,24.0,direct,,AVAX
2025-07-26,25.77,23.86,24.0,743473.08,18443350.52,24.93,direct,,AVAX
2025-07-27,26.46,24.76,24.93,819923.14,20791123.34,26.06,direct,,AVAX
2025-07-28,27.38,25.0,26.06,1584941.16,41850357.89,25.19,direct,,AVAX
2025-07-29,25.51,23.88,25.19,1106748.44,27238272.81,24.37,direct,,AVAX
2025-07-30,24.5,22.42,24.37,963127.78,22577474.33,23.31,direct,,AVAX
2025-07-31,24.11,22.4,23.31,689890.16,16012014.57,22.48,direct,,AVAX
2025-08-01,22.58,21.03,22.48,1327037.84,29122839.5,21.53,direct,,AVAX
2025-08-02,21.81,20.66,21.53,674150.98,14270201.85,20.85,direct,,AVAX
2025-08-03,21.54,20.58,20.85,311484.91,6627572.76,21.37,direct,,AVAX
2025-08-04,23.13,21.35,21.37,1481466.38,33069137.39,23.11,direct,,AVAX
2025-08-05,23.13,21.43,23.11,671526.12,14934811.47,21.92,direct,,AVAX
2025-08-06,22.39,21.57,21.92,566870.24,12496469.75,22.23,direct,,AVAX
2025-08-07,22.33,22.02,22.23,28939.03,641935.51,22.06,direct,,AVAX
2025-07-08,14.0,13.2,13.43,1455049.47,19800369.1,13.97,direct,,LINK
2025-07-09,14.38,13.82,13.97,2525105.68,35559482.71,14.25,direct,,LINK
2025-07-10,15.34,14.16,14.25,2371704.46,34712560.72,15.24,direct,,LINK
2025-07-11,15.87,15.03,15.24,3254546.78,50435724.68,15.29,direct,,LINK
2025-07-12,15.48,14.72,15.29,1516751.17,22937004.63,15.11,direct,,LINK
2025-07-13,15.95,15.05,15.11,1599999.09,24910789.74,15.66,direct,,LINK
2025-07-14,16.47,15.58,15.66,3265445.3,52330168.69,15.76,direct,,LINK
2025-07-15,16.19,15.14,15.76,2660472.02,41553970.73,16.11,direct,,LINK
2025-07-16,17.04,15.83,16.11,4277684.97,70781065.1,16.68,direct,,LINK
2025-07-17,18.13,16.34,16.68,3797970.6,65225384.55,18.01,direct,,LINK
2025-07-18,19.15,17.34,18.01,5226279.16,95684103.79,17.83,direct,,LINK
2025-07-19,18.55,17.56,17.83,1787585.84,32329482.21,18.4,direct,,LINK
2025-07-20,19.95,18.34,18.4,4030390.18,77614006.45,19.29,direct,,LINK
2025-07-21,20.28,19.01,19.29,3648537.9,71798432.05,19.5,direct,,LINK
2025-07-22,20.0,18.64,19.5,3720015.69,71698428.5,19.67,direct,,LINK
2025-07-23,19.77,17.57,19.67,3462780.02,64139545.21,18.19,direct,,LINK
2025-07-24,18.69,17.19,18.19,3225355.68,58339757.12,17.92,direct,,LINK
2025-07-25,18.48,17.27,17.92,2985225.43,53148811.48,18.29,direct,,LINK
2025-07-26,18.64,18.17,18.29,1464971.1,26928660.76,18.41,direct,,LINK
2025-07-27,19.29,18.37,18.41,2071639.53,39146619.96,19.24,direct,,LINK
2025-07-28,19.55,17.98,19.24,2392383.61,44948359.67,18.11,direct,,LINK
2025-07-29,18.63,17.48,18.11,2657942.7,47728324.31,17.83,direct,,LINK
2025-07-30,17.94,16.77,17.83,2043088.07,35709103.98,17.71,direct,,LINK
2025-07-31,18.23,16.85,17.71,2079056.89,36543513.53,16.93,direct,,LINK
2025-08-01,17.03,15.67,16.93,4185067.81,69069368.88,16.07,direct,,LINK
2025-08-02,16.24,15.44,16.07,1684943.55,26689232.21,15.64,direct,,LINK
2025-08-03,16.4,15.44,15.64,1078751.89,17313283.27,16.3,direct,,LINK
2025-08-04,17.2,16.28,16.3,1688893.46,28413548.34,17.11,direct,,LINK
2025-08-05,17.12,16.08,17.11,1657534.75,27420908.29,16.38,direct,,LINK
2025-08-06,16.9,16.04,16.38,1423956.4,23486915.25,16.68,direct,,LINK
