time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol,return,volatility,momentum,tssi,sentiment_disagreement,article_volume,sentiment_momentum,msi
2025-07-25,0.237,0.2209,0.2322,887635559.26,202595424.45,0.2368,direct,,DOGE,0.019810508182601216,0.07368744785184045,-0.12587670727205602,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-26,0.2403,0.233,0.2368,324589875.63,77009999.51,0.2355,direct,,DOGE,-0.005489864864864913,0.07315262873009092,-0.02200996677740863,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-27,0.2438,0.2343,0.2355,467547698.64,111631349.18,0.2408,direct,,DOGE,0.022505307855626322,0.04571060521987095,0.03703703703703698,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-28,0.2486,0.2243,0.2408,538976552.91,127861566.05,0.2261,direct,,DOGE,-0.061046511627906974,0.048265166005016645,-0.045185810810810856,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-29,0.2327,0.2174,0.2261,510417972.95,114718860.94,0.2239,direct,,DOGE,-0.009730207872622798,0.04778955939088224,-0.049256900212314214,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-30,0.2265,0.2092,0.2239,492103510.06,107518702.0,0.2199,direct,,DOGE,-0.017865118356409027,0.029582104605979695,-0.08679401993355473,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-07-31,0.2256,0.2082,0.2199,425992895.58,92891735.51,0.2098,direct,,DOGE,-0.045929968167348956,0.03112948368335263,-0.07209199469261396,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-08-01,0.2125,0.1956,0.2098,869723933.76,178610045.69,0.201,direct,,DOGE,-0.041944709246901746,0.028611459809414118,-0.10227780259044206,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-08-02,0.2034,0.1894,0.201,404319973.32,79357679.31,0.191,direct,,DOGE,-0.04975124378109452,0.02903964678780348,-0.1314233742610278,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-08-03,0.2004,0.1886,0.191,295981357.18,58216577.67,0.1988,direct,,DOGE,0.0408376963350785,0.03473781865079665,-0.052430886558627154,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-08-04,0.2113,0.1985,0.1988,392447972.64,80194726.51,0.2104,direct,,DOGE,0.05835010060362178,0.043219365440058444,0.04676616915422871,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
2025-08-05,0.211,0.1961,0.2104,342718999.88,69314930.34,0.1998,direct,,DOGE,-0.050380228136882144,0.04591292374460856,0.04607329842931929,0.3507088888888889,0.29315099094632185,0.0,0.3507088888888889,0.733296
